name,url,type,cr
Aberrations,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/,aberrations,UNKNOWN
Aatheriexa,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aatheriexa/,aberrations,7
Aatheriexa (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aatheriexa-2/,aberrations,7
Aboleth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aboleth/,aberrations,7
"Aboleth, Psionic",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aboleth-psionic/,aberrations,7
"Aboleth, Psionic Omnipath",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aboleth-psionic-omnipath/,aberrations,18
"Aboleth, Psionic Veiled Master",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aboleth-psionic-veiled-master/,aberrations,14
"Aboleth, Savage",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/aboleth-savage/,aberrations,12
Abyssal Custodian,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/abyssal-custodian/,aberrations,18
Abyssal Harvester (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/abyssal-harvester-tohc/,aberrations,17
Adherer (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/adherer-tohc/,aberrations,3
Advanced Otyugh,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/otyugh-advanced/,aberrations,5
Akaname,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/akaname/,aberrations,1
Akata,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/akata/,aberrations,1
Amphisbaena Encephalon Gorger (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/amphisbaena-encephalon-gorger-tohc/,aberrations,10
Arachne,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/arachne/,aberrations,5
Arcadex,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/arcadex/,aberrations,12
Arcanoplasm (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/arcanoplasm-tohc/,aberrations,7
Argorth,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/argorth/,aberrations,11
Cinder Scourge,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/argorth/cinder-scourge/,aberrations,12
Argus,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/argus/,aberrations,13/M
"Autrok, Ergon",https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/autrok-ergon/,aberrations,2
Azruverda,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/azruverda/,aberrations,13
Bagiennik (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bagiennik-kp/,aberrations,5
Bedlam,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bedlam/,aberrations,9
Bee-Man,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bee-man/,aberrations,9
Belabra (Tangler),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/belabra-tangler/,aberrations,3
Black Mass,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/black-mass-2/,aberrations,11
Black Mass,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/black-mass/,aberrations,11
Blightrat,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blightrat/,aberrations,15
Blightspawn,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blightspawn/,aberrations,5
Blindheim,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blindheim-tohc/,aberrations,2
Blood Golem,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blood-golem-tohc/,aberrations,5
Blood of Yog-Sothoth Abomination,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blood-of-yog-sothoth-abomination/,aberrations,12
Blood of Yog-Sothoth Hunter,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blood-of-yog-sothoth-hunter/,aberrations,7
Blood of Yog-Sothoth Warlock,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blood-of-yog-sothoth-warlock/,aberrations,7
Blood of Yog-Sothoth Warrior,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blood-of-yog-sothoth-warrior/,aberrations,3
Blood Orchid,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/blood-orchid-fgg/,aberrations,5
Boggart (3pp),https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/boggart-fgg/,aberrations,5
Bogwid,https://www.d20pfsrd.com/bestiary/monster-listings/aberrations/bogwid/,aberrations,5
